_loaded_at,_sync_id,_is_deleted,case_id,account_id,contact_id,subject,description,status,priority,severity,origin,created_date,closed_date,last_modified_date
2025-01-20 02:00:00,sync_002,false,CASE-001,ACC-001,CON-001,Thermostat not connecting to WiFi,Smart Thermostat v2 fails to connect after installation. LED shows amber blinking pattern.,open,high,sev2,phone,2025-01-15,,2025-01-15
2025-01-20 02:00:00,sync_002,false,CASE-002,ACC-003,CON-003,Energy readings seem too high,Commercial suite showing 3x expected kWh readings for office space. Possible calibration issue.,open,medium,sev3,email,2025-01-18,,2025-01-18
2025-02-01 02:00:00,sync_003,false,CASE-001,ACC-001,CON-001,Thermostat not connecting to WiFi,Smart Thermostat v2 fails to connect after installation. LED shows amber blinking pattern. Resolved by firmware update.,closed,high,sev2,phone,2025-01-15,2025-01-22,2025-01-22
2025-02-01 02:00:00,sync_003,false,CASE-002,ACC-003,CON-003,Energy readings seem too high,Commercial suite showing 3x expected kWh readings for office space. Recalibrated CT clamps.,closed,medium,sev3,email,2025-01-18,2025-01-28,2025-01-28
2025-02-01 02:00:00,sync_003,false,CASE-003,ACC-004,CON-004,Billing discrepancy on February invoice,Monthly amount does not match contract terms. Customer expects 399 but was charged 498.75.,open,high,sev2,web,2025-02-02,,2025-02-02
2025-02-01 02:00:00,sync_003,false,CASE-004,ACC-006,CON-006,Thermostat schedule not saving,Programmed heating schedule resets to default after 24 hours.,open,medium,sev3,phone,2025-02-05,,2025-02-05
2025-02-01 02:00:00,sync_003,false,CASE-005,ACC-005,CON-005,Request for additional meter installation,Need second energy meter for warehouse section of building.,open,low,sev4,email,2025-02-08,,2025-02-08
2025-03-01 02:00:00,sync_004,false,CASE-003,ACC-004,CON-004,Billing discrepancy on February invoice,Monthly amount does not match contract terms. Corrected in next billing cycle.,closed,high,sev2,web,2025-02-02,2025-02-15,2025-02-15
2025-03-01 02:00:00,sync_004,false,CASE-004,ACC-006,CON-006,Thermostat schedule not saving,Programmed heating schedule resets to default after 24 hours. Fixed via firmware 2.2.0.,closed,medium,sev3,phone,2025-02-05,2025-02-20,2025-02-20
2025-03-01 02:00:00,sync_004,false,CASE-006,ACC-002,CON-002,Energy meter offline intermittently,Energy Meter Pro goes offline for 2-3 hours daily. Signal strength appears weak.,open,high,sev2,phone,2025-02-25,,2025-02-25
2025-03-01 02:00:00,sync_004,false,CASE-007,ACC-009,CON-009,Request for energy audit,Would like comprehensive energy audit for all managed properties.,open,low,sev4,web,2025-03-01,,2025-03-01
